r_mid,theta_mid,image_cell_area,jacobian_midpoint_area,relative_error
0.5178571428571428,-0.5166666666666668,0.009204696137963736,0.00924744897959183,0.004623203839506961
0.5178571428571428,-0.35000000000000014,0.009204696137963708,0.00924744897959183,0.004623203839509963
0.5178571428571428,-0.18333333333333346,0.009204696137963722,0.009247448979591837,0.004623203839509208
0.5178571428571428,-0.01666666666666683,0.009204696137963703,0.009247448979591824,0.004623203839509965
0.5178571428571428,0.1499999999999998,0.009204696137963708,0.009247448979591837,0.004623203839510709
0.5178571428571428,0.31666666666666654,0.009204696137963708,0.009247448979591837,0.004623203839510709
0.5178571428571428,0.48333333333333317,0.009204696137963708,0.009247448979591824,0.004623203839509402
0.5178571428571428,0.6499999999999998,0.009204696137963708,0.009247448979591837,0.004623203839510709
0.5178571428571428,0.8166666666666667,0.009204696137963708,0.009247448979591842,0.00462320383951127
0.625,-1.0166666666666668,0.011109116028576893,0.01116071428571429,0.004623203839510713
0.625,-0.8500000000000001,0.011109116028576893,0.01116071428571429,0.004623203839510713
0.625,-0.6833333333333335,0.011109116028576838,0.011160714285714298,0.00462320383951646
0.625,-0.5166666666666668,0.011109116028576893,0.01116071428571429,0.004623203839510713
0.625,-0.35000000000000014,0.01110911602857692,0.01116071428571429,0.004623203839508226
0.625,-0.18333333333333346,0.011109116028576893,0.011160714285714298,0.004623203839511487
0.625,-0.01666666666666683,0.011109116028576895,0.011160714285714282,0.004623203839509938
0.625,0.1499999999999998,0.011109116028576907,0.011160714285714298,0.004623203839510243
0.625,0.31666666666666654,0.01110911602857692,0.011160714285714298,0.004623203839509
0.625,0.48333333333333317,0.011109116028576893,0.011160714285714282,0.0046232038395100945
0.625,0.6499999999999998,0.011109116028576893,0.011160714285714298,0.004623203839511487
0.625,0.8166666666666667,0.011109116028576949,0.011160714285714305,0.0046232038395071316
0.7321428571428572,-1.0166666666666668,0.013013535919190078,0.013073979591836727,0.004623203839509527
0.7321428571428572,-0.8500000000000001,0.013013535919190078,0.013073979591836727,0.004623203839509527
0.7321428571428572,-0.6833333333333335,0.013013535919190078,0.013073979591836735,0.004623203839510187
0.7321428571428572,-0.5166666666666668,0.013013535919190133,0.013073979591836727,0.004623203839505281
0.7321428571428572,-0.35000000000000014,0.013013535919190022,0.013073979591836727,0.004623203839513773
0.7321428571428572,-0.18333333333333346,0.013013535919190078,0.013073979591836735,0.004623203839510187
0.7321428571428572,-0.01666666666666683,0.013013535919190074,0.013073979591836718,0.004623203839509132
0.7321428571428572,0.1499999999999998,0.013013535919190106,0.013073979591836735,0.004623203839508064
0.7321428571428572,0.31666666666666654,0.013013535919190078,0.013073979591836735,0.004623203839510187
0.7321428571428572,0.48333333333333317,0.013013535919190078,0.013073979591836718,0.004623203839508866
0.7321428571428572,0.6499999999999998,0.013013535919190078,0.013073979591836735,0.004623203839510187
0.7321428571428572,0.8166666666666667,0.013013535919189967,0.013073979591836744,0.00462320383951934
0.8392857142857142,-1.0166666666666668,0.014917955809803263,0.014987244897959173,0.00462320383950922
0.8392857142857142,-0.8500000000000001,0.014917955809803263,0.014987244897959173,0.00462320383950922
0.8392857142857142,-0.6833333333333335,0.014917955809803263,0.014987244897959183,0.0046232038395099114
0.8392857142857142,-0.5166666666666668,0.014917955809803374,0.014987244897959173,0.004623203839501812
0.8392857142857142,-0.35000000000000014,0.014917955809803207,0.014987244897959173,0.004623203839512924
0.8392857142857142,-0.18333333333333346,0.014917955809803235,0.014987244897959183,0.004623203839511763
0.8392857142857142,-0.01666666666666683,0.014917955809803249,0.014987244897959162,0.004623203839509454
0.8392857142857142,0.1499999999999998,0.014917955809803263,0.014987244897959183,0.0046232038395099114
0.8392857142857142,0.31666666666666654,0.014917955809803263,0.014987244897959183,0.0046232038395099114
0.8392857142857142,0.48333333333333317,0.014917955809803263,0.014987244897959162,0.004623203839508529
0.8392857142857142,0.6499999999999998,0.014917955809803263,0.014987244897959183,0.0046232038395099114
0.8392857142857142,0.8166666666666667,0.014917955809803263,0.014987244897959193,0.004623203839510603
