q,eigen_plus,eigen_minus,plus_square_error,minus_square_error
1.7394957983193278,1.318899464826386,-1.318899464826386,-2.220446049250313e-16,-2.220446049250313e-16
1.7647058823529411,1.3284223283101428,-1.3284223283101428,-2.220446049250313e-16,-2.220446049250313e-16
1.7899159663865547,1.3378774108215425,-1.3378774108215425,-2.220446049250313e-16,-2.220446049250313e-16
1.815126050420168,1.3472661394172156,-1.3472661394172156,2.220446049250313e-16,2.220446049250313e-16
1.8403361344537816,1.3565898917704575,-1.3565898917704575,0.0,0.0
1.865546218487395,1.3658499985310961,-1.3658499985310961,2.220446049250313e-16,2.220446049250313e-16
1.8907563025210083,1.375047745542317,-1.375047745542317,0.0,0.0
1.915966386554622,1.3841843759249062,-1.3841843759249062,0.0,0.0
1.9411764705882353,1.3932610920384718,-1.3932610920384718,-2.220446049250313e-16,-2.220446049250313e-16
1.9663865546218489,1.402279057328408,-1.402279057328408,0.0,0.0
1.9915966386554622,1.4112393980666293,-1.4112393980666293,0.0,0.0
2.0168067226890756,1.4201432049934526,-1.4201432049934526,0.0,0.0
2.042016806722689,1.4289915348674005,-1.4289915348674005,0.0,0.0
2.0672268907563027,1.4377854119291595,-1.4377854119291595,4.440892098500626e-16,4.440892098500626e-16
2.092436974789916,1.4465258292854353,-1.4465258292854353,0.0,0.0
2.1176470588235294,1.4552137502179978,-1.4552137502179978,0.0,0.0
2.142857142857143,1.4638501094227998,-1.4638501094227998,0.0,0.0
2.168067226890756,1.4724358141836797,-1.4724358141836797,-4.440892098500626e-16,-4.440892098500626e-16
2.19327731092437,1.4809717454848252,-1.4809717454848252,0.0,0.0
2.2184873949579833,1.4894587590658506,-1.4894587590658506,0.0,0.0
2.2436974789915967,1.4978976864230737,-1.4978976864230737,4.440892098500626e-16,4.440892098500626e-16
2.26890756302521,1.5062893357603013,-1.5062893357603013,-4.440892098500626e-16,-4.440892098500626e-16
2.2941176470588234,1.5146344928922038,-1.5146344928922038,0.0,0.0
2.319327731092437,1.5229339221031348,-1.5229339221031348,0.0,0.0
2.3445378151260505,1.5311883669640554,-1.5311883669640554,0.0,0.0
2.369747899159664,1.5393985511100314,-1.5393985511100314,0.0,0.0
2.3949579831932772,1.5475651789806066,-1.5475651789806066,0.0,0.0
2.420168067226891,1.5556889365251947,-1.5556889365251947,0.0,0.0
2.4453781512605044,1.5637704918754876,-1.5637704918754876,0.0,0.0
2.4705882352941178,1.5718104959867516,-1.5718104959867516,4.440892098500626e-16,4.440892098500626e-16
2.495798319327731,1.5798095832497443,-1.5798095832497443,-4.440892098500626e-16,-4.440892098500626e-16
2.5210084033613445,1.5877683720748894,-1.5877683720748894,0.0,0.0
2.5462184873949583,1.5956874654502236,-1.5956874654502236,0.0,0.0
2.5714285714285716,1.6035674514745464,-1.6035674514745464,0.0,0.0
2.596638655462185,1.6114089038671051,-1.6114089038671051,4.440892098500626e-16,4.440892098500626e-16
2.6218487394957983,1.6192123824550622,-1.6192123824550622,0.0,0.0
2.6470588235294117,1.6269784336399213,-1.6269784336399213,4.440892098500626e-16,4.440892098500626e-16
2.6722689075630255,1.6347075908440094,-1.6347075908440094,0.0,0.0
2.697478991596639,1.6424003749380474,-1.6424003749380474,-4.440892098500626e-16,-4.440892098500626e-16
2.722689075630252,1.6500572946507803,-1.6500572946507803,0.0,0.0
2.7478991596638656,1.6576788469615777,-1.6576788469615777,4.440892098500626e-16,4.440892098500626e-16
2.773109243697479,1.6652655174768614,-1.6652655174768614,0.0,0.0
2.7983193277310927,1.6728177807911693,-1.6728177807911693,-4.440892098500626e-16,-4.440892098500626e-16
2.823529411764706,1.6803361008336117,-1.6803361008336117,-4.440892098500626e-16,-4.440892098500626e-16
2.8487394957983194,1.6878209312004397,-1.6878209312004397,0.0,0.0
2.8739495798319328,1.695272715474396,-1.695272715474396,0.0,0.0
2.899159663865546,1.7026918875314894,-1.7026918875314894,0.0,0.0
2.92436974789916,1.7100788718357876,-1.7100788718357876,0.0,0.0
2.9495798319327733,1.7174340837228,-1.7174340837228,0.0,0.0
2.9747899159663866,1.7247579296719835,-1.7247579296719835,0.0,0.0
3.0,1.7320508075688772,-1.7320508075688772,-4.440892098500626e-16,-4.440892098500626e-16
