estimate,method,sample_count,trial
3.141592653589793,jittered cosine warp,81,143
3.228813931391821,uniform hemisphere,96,144
3.141592653589793,cosine-weighted hemisphere,96,144
3.141592653589793,jittered cosine warp,81,144
3.0440617495867044,uniform hemisphere,96,145
3.141592653589793,cosine-weighted hemisphere,96,145
3.141592653589793,jittered cosine warp,81,145
3.222341570991011,uniform hemisphere,96,146
3.141592653589793,cosine-weighted hemisphere,96,146
3.141592653589793,jittered cosine warp,81,146
2.6776850085936945,uniform hemisphere,96,147
3.141592653589793,cosine-weighted hemisphere,96,147
3.141592653589793,jittered cosine warp,81,147
2.9824020812048655,uniform hemisphere,96,148
3.141592653589793,cosine-weighted hemisphere,96,148
3.141592653589793,jittered cosine warp,81,148
2.894675831370813,uniform hemisphere,96,149
3.141592653589793,cosine-weighted hemisphere,96,149
3.141592653589793,jittered cosine warp,81,149
3.0945771520983194,uniform hemisphere,96,150
3.141592653589793,cosine-weighted hemisphere,96,150
3.141592653589793,jittered cosine warp,81,150
3.157795561858498,uniform hemisphere,96,151
3.141592653589793,cosine-weighted hemisphere,96,151
3.141592653589793,jittered cosine warp,81,151
3.0024196931823943,uniform hemisphere,96,152
3.141592653589793,cosine-weighted hemisphere,96,152
3.141592653589793,jittered cosine warp,81,152
3.096813823948588,uniform hemisphere,96,153
3.141592653589793,cosine-weighted hemisphere,96,153
3.141592653589793,jittered cosine warp,81,153
3.1116464328099926,uniform hemisphere,96,154
3.141592653589793,cosine-weighted hemisphere,96,154
3.141592653589793,jittered cosine warp,81,154
3.1555415911123994,uniform hemisphere,96,155
3.141592653589793,cosine-weighted hemisphere,96,155
3.141592653589793,jittered cosine warp,81,155
3.2598262912231086,uniform hemisphere,96,156
3.141592653589793,cosine-weighted hemisphere,96,156
3.141592653589793,jittered cosine warp,81,156
2.985699223972913,uniform hemisphere,96,157
3.141592653589793,cosine-weighted hemisphere,96,157
3.141592653589793,jittered cosine warp,81,157
3.273421675207286,uniform hemisphere,96,158
3.141592653589793,cosine-weighted hemisphere,96,158
3.141592653589793,jittered cosine warp,81,158
3.286512696252764,uniform hemisphere,96,159
3.141592653589793,cosine-weighted hemisphere,96,159
3.141592653589793,jittered cosine warp,81,159
3.259013916457777,uniform hemisphere,96,160
3.141592653589793,cosine-weighted hemisphere,96,160
3.141592653589793,jittered cosine warp,81,160
2.9828930614004747,uniform hemisphere,96,161
3.141592653589793,cosine-weighted hemisphere,96,161
3.141592653589793,jittered cosine warp,81,161
3.382077240729219,uniform hemisphere,96,162
3.141592653589793,cosine-weighted hemisphere,96,162
3.141592653589793,jittered cosine warp,81,162
3.2727216054384036,uniform hemisphere,96,163
3.141592653589793,cosine-weighted hemisphere,96,163
3.141592653589793,jittered cosine warp,81,163
2.9941099835640963,uniform hemisphere,96,164
3.141592653589793,cosine-weighted hemisphere,96,164
3.141592653589793,jittered cosine warp,81,164
3.005464943196968,uniform hemisphere,96,165
3.141592653589793,cosine-weighted hemisphere,96,165
3.141592653589793,jittered cosine warp,81,165
3.3252797119641713,uniform hemisphere,96,166
3.141592653589793,cosine-weighted hemisphere,96,166
3.141592653589793,jittered cosine warp,81,166
3.14771236775024,uniform hemisphere,96,167
3.141592653589793,cosine-weighted hemisphere,96,167
3.141592653589793,jittered cosine warp,81,167
2.9503272009853916,uniform hemisphere,96,168
3.141592653589793,cosine-weighted hemisphere,96,168
3.141592653589793,jittered cosine warp,81,168
3.3322760512320193,uniform hemisphere,96,169
3.141592653589793,cosine-weighted hemisphere,96,169
3.141592653589793,jittered cosine warp,81,169
3.6573278459457175,uniform hemisphere,96,170
3.141592653589793,cosine-weighted hemisphere,96,170
3.141592653589793,jittered cosine warp,81,170
3.099179569590675,uniform hemisphere,96,171
3.141592653589793,cosine-weighted hemisphere,96,171
3.141592653589793,jittered cosine warp,81,171
3.2016303373303656,uniform hemisphere,96,172
3.141592653589793,cosine-weighted hemisphere,96,172
3.141592653589793,jittered cosine warp,81,172
2.7902730165874323,uniform hemisphere,96,173
3.141592653589793,cosine-weighted hemisphere,96,173
3.141592653589793,jittered cosine warp,81,173
2.9566001185336,uniform hemisphere,96,174
3.141592653589793,cosine-weighted hemisphere,96,174
3.141592653589793,jittered cosine warp,81,174
3.1847057744688416,uniform hemisphere,96,175
3.141592653589793,cosine-weighted hemisphere,96,175
3.141592653589793,jittered cosine warp,81,175
3.3263696327279377,uniform hemisphere,96,176
3.141592653589793,cosine-weighted hemisphere,96,176
3.141592653589793,jittered cosine warp,81,176
3.159871748091806,uniform hemisphere,96,177
3.141592653589793,cosine-weighted hemisphere,96,177
3.141592653589793,jittered cosine warp,81,177
3.4444942901357485,uniform hemisphere,96,178
3.141592653589793,cosine-weighted hemisphere,96,178
3.141592653589793,jittered cosine warp,81,178
3.2092148902798114,uniform hemisphere,96,179
3.141592653589793,cosine-weighted hemisphere,96,179
3.141592653589793,jittered cosine warp,81,179
3.2220245047927345,uniform hemisphere,96,180
3.141592653589793,cosine-weighted hemisphere,96,180
3.141592653589793,jittered cosine warp,81,180
2.8562697802282866,uniform hemisphere,96,181
3.141592653589793,cosine-weighted hemisphere,96,181
3.141592653589793,jittered cosine warp,81,181
3.2565991655656332,uniform hemisphere,96,182
3.141592653589793,cosine-weighted hemisphere,96,182
3.141592653589793,jittered cosine warp,81,182
3.1603585518425326,uniform hemisphere,96,183
3.141592653589793,cosine-weighted hemisphere,96,183
3.141592653589793,jittered cosine warp,81,183
2.857272861915913,uniform hemisphere,96,184
3.141592653589793,cosine-weighted hemisphere,96,184
3.141592653589793,jittered cosine warp,81,184
3.2307609075020554,uniform hemisphere,96,185
3.141592653589793,cosine-weighted hemisphere,96,185
3.141592653589793,jittered cosine warp,81,185
3.2934367572652214,uniform hemisphere,96,186
3.141592653589793,cosine-weighted hemisphere,96,186
3.141592653589793,jittered cosine warp,81,186
3.410069983873371,uniform hemisphere,96,187
3.141592653589793,cosine-weighted hemisphere,96,187
3.141592653589793,jittered cosine warp,81,187
3.202659422537785,uniform hemisphere,96,188
3.141592653589793,cosine-weighted hemisphere,96,188
3.141592653589793,jittered cosine warp,81,188
3.0460194633336726,uniform hemisphere,96,189
3.141592653589793,cosine-weighted hemisphere,96,189
3.141592653589793,jittered cosine warp,81,189
3.0612091922096156,uniform hemisphere,96,190
3.141592653589793,cosine-weighted hemisphere,96,190
3.141592653589793,jittered cosine warp,81,190
3.0918414372214293,uniform hemisphere,96,191
3.141592653589793,cosine-weighted hemisphere,96,191
3.141592653589793,jittered cosine warp,81,191
2.9158823066994657,uniform hemisphere,96,192
3.141592653589793,cosine-weighted hemisphere,96,192
3.141592653589793,jittered cosine warp,81,192
2.9880519526942506,uniform hemisphere,96,193
3.141592653589793,cosine-weighted hemisphere,96,193
3.141592653589793,jittered cosine warp,81,193
2.9827081660767374,uniform hemisphere,96,194
3.141592653589793,cosine-weighted hemisphere,96,194
3.141592653589793,jittered cosine warp,81,194
3.15094475235907,uniform hemisphere,96,195
3.141592653589793,cosine-weighted hemisphere,96,195
3.141592653589793,jittered cosine warp,81,195
3.083151575742713,uniform hemisphere,96,196
3.141592653589793,cosine-weighted hemisphere,96,196
3.141592653589793,jittered cosine warp,81,196
3.3827017190361275,uniform hemisphere,96,197
3.141592653589793,cosine-weighted hemisphere,96,197
3.141592653589793,jittered cosine warp,81,197
3.306450762779484,uniform hemisphere,96,198
3.141592653589793,cosine-weighted hemisphere,96,198
3.141592653589793,jittered cosine warp,81,198
3.2941012644771988,uniform hemisphere,96,199
3.141592653589793,cosine-weighted hemisphere,96,199
3.141592653589793,jittered cosine warp,81,199
2.950177186395067,uniform hemisphere,96,200
3.141592653589793,cosine-weighted hemisphere,96,200
3.141592653589793,jittered cosine warp,81,200
3.2899592764257144,uniform hemisphere,96,201
3.141592653589793,cosine-weighted hemisphere,96,201
3.141592653589793,jittered cosine warp,81,201
2.943988010067725,uniform hemisphere,96,202
3.141592653589793,cosine-weighted hemisphere,96,202
3.141592653589793,jittered cosine warp,81,202
3.1256134595823633,uniform hemisphere,96,203
3.141592653589793,cosine-weighted hemisphere,96,203
3.141592653589793,jittered cosine warp,81,203
3.1817196427802847,uniform hemisphere,96,204
3.141592653589793,cosine-weighted hemisphere,96,204
3.141592653589793,jittered cosine warp,81,204
3.0814894285481187,uniform hemisphere,96,205
3.141592653589793,cosine-weighted hemisphere,96,205
3.141592653589793,jittered cosine warp,81,205
3.4044195629919387,uniform hemisphere,96,206
