dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,-1.0,0.9968354430379748,3.3889578065652675,3.121740617012972,1.085598780403473
2,-1.0,1.0246835443037976,3.5975121582106997,3.2985980377648123,1.0906185346088537
2,-1.0,1.0525316455696203,3.8137296528939166,3.480328173928726,1.0957959888560838
2,-1.0,1.0803797468354432,4.03777798183228,3.6669310255047143,1.1011327875403716
2,-1.0,1.108227848101266,4.269830909582474,3.8584065924927744,1.1066306277545244
2,-1.0,1.1360759493670887,4.510068408806664,4.054754874892907,1.1122912600051518
2,-1.0,1.1639240506329116,4.758676799853429,4.255975872705116,1.118116488951991
2,-1.0,1.1917721518987343,5.015848895261782,4.462069585929395,1.1241081741707175
2,-1.0,1.219620253164557,5.281784149300305,4.673036014565748,1.130268230939608
2,-1.0,1.24746835443038,5.556688812657406,4.888875158614176,1.1365986310504463
2,-1.0,1.2753164556962027,5.840776092402641,5.109587018074676,1.1431014036440623
2,-1.0,1.3031645569620254,6.134266317343212,5.3351715929472485,1.1497786360709215
2,-1.0,1.3310126582278483,6.4373871089038195,5.565628883231896,1.1566324747771726
2,-1.0,1.358860759493671,6.750373557662444,5.800958888928616,1.1636651262166031
2,-1.0,1.3867088607594937,7.073468405678977,6.041161610037407,1.1708788577889373
2,-1.0,1.4145569620253167,7.406922234758082,6.286237046558275,1.1782759988049423
2,-1.0,1.4424050632911394,7.750993660792286,6.536185198491213,1.1858589414788145
2,-1.0,1.4702531645569623,8.105949534336093,6.791006065836228,1.1936301419483337
2,-1.0,1.498101265822785,8.472065147566601,7.050699648593314,1.201592121323288
2,-1.0,1.5259493670886077,8.849624447791173,7.315265946762473,1.2097474667626764
2,-1.0,1.5537974683544307,9.238920257667775,7.584704960343706,1.2180988325812356
2,-1.0,1.5816455696202534,9.640254502308697,7.859016689337012,1.2266489413858148
2,-1.0,1.609493670886076,10.053938443443888,8.138201133742392,1.2354005852421757
2,-1.0,1.637341772151899,10.480292920825468,8.422258293559844,1.2443566268727853
2,-1.0,1.6651898734177217,10.919648601060597,8.71118816878937,1.2535200008861875
2,-1.0,1.6930379746835444,11.372346234065795,9.004990759430969,1.2628937150385726
2,-1.0,1.7208860759493674,11.838736917341514,9.303666065484641,1.272480851528157
2,-1.0,1.74873417721519,12.31918236827198,9.607214086950385,1.2822845683230166
2,-1.0,1.7765822784810128,12.814055204661441,9.915634823828205,1.2923081005230306
2,-1.0,1.8044303797468357,13.323739233724483,10.228928276118097,1.3025547617566122
2,-1.0,1.8322784810126584,13.848629749754439,10.547094443820063,1.3130279456129141
2,-1.0,1.8601265822784812,14.389133840700836,10.870133326934099,1.3237311271102197
2,-1.0,1.887974683544304,14.945670703893612,11.198044925460213,1.3346678642012486
2,-1.0,1.9158227848101268,15.518671971158954,11.530829239398397,1.3458417993161276
2,-1.0,1.9436708860759495,16.108582043578984,11.868486268748654,1.357256660943787
2,-1.0,1.9715189873417724,16.715858436154832,12.211016013510989,1.3689162652525735
2,-1.0,1.9993670886075952,17.3409721326404,12.558418473685391,1.380824517750882
2,-1.0,2.027215189873418,17.984407950822153,12.910693649271868,1.3929854149886385
2,-1.0,2.0550632911392404,18.64666491852806,13.267841540270416,1.4054030463004774
2,-1.0,2.0829113924050633,19.328256660657427,13.629862146681042,1.4180815955914845
2,-1.0,2.1107594936708862,20.0297117975317,13.99675546850374,1.4310253431663964
2,-1.0,2.1386075949367087,20.751574354875267,14.368521505738508,1.4442386676031693
2,-1.0,2.1664556962025316,21.49440418574426,14.745160258385356,1.4577260476718594
2,-1.0,2.1943037974683546,22.258777404730345,15.126671726444274,1.471492064299763
2,-1.0,2.222151898734177,23.045286834776597,15.513055909915261,1.4855414025838112
2,-1.0,2.25,23.854542466951838,15.904312808798327,1.499878853851228
2,0.0,0.05,0.007853981633974483,0.007853981633974483,1.0
2,0.0,0.07784810126582278,0.019039078375324456,0.019039078375324456,1.0
2,0.0,0.10569620253164558,0.0350968905287477,0.0350968905287477,1.0
2,0.0,0.13354430379746834,0.05602741809424417,0.05602741809424417,1.0
2,0.0,0.16139240506329117,0.08183066107181396,0.08183066107181396,1.0
2,0.0,0.18924050632911393,0.11250661946145697,0.11250661946145697,1.0
2,0.0,0.2170886075949367,0.14805529326317318,0.14805529326317318,1.0
2,0.0,0.24493670886075952,0.18847668247696275,0.18847668247696275,1.0
2,0.0,0.2727848101265823,0.2337707871028255,0.2337707871028255,1.0
2,0.0,0.30063291139240506,0.28393760714076155,0.28393760714076155,1.0
2,0.0,0.3284810126582279,0.3389771425907709,0.3389771425907709,1.0
2,0.0,0.35632911392405064,0.39888939345285335,0.39888939345285335,1.0
2,0.0,0.3841772151898734,0.4636743597270091,0.4636743597270091,1.0
2,0.0,0.41202531645569623,0.5333320414132382,0.5333320414132382,1.0
2,0.0,0.439873417721519,0.6078624385115405,0.6078624385115405,1.0
2,0.0,0.4677215189873418,0.6872655510219163,0.6872655510219163,1.0
2,0.0,0.4955696202531646,0.7715413789443649,0.7715413789443649,1.0
2,0.0,0.5234177215189874,0.8606899222788871,0.8606899222788871,1.0
2,0.0,0.5512658227848102,0.9547111810254827,0.9547111810254827,1.0
2,0.0,0.579113924050633,1.0536051551841514,1.0536051551841514,1.0
2,0.0,0.6069620253164558,1.1573718447548935,1.1573718447548935,1.0
