cross_ratio_abs_minus_one,cross_ratio_imag,cross_ratio_real,expected_angle_degrees,laguerre_angle_degrees,line_l_degrees,line_m_degrees,mod_pi_error
0.0,-0.8910065241883679,-0.4539904997395468,121.5,121.5,17.0,138.5,0.0
0.0,-0.9135454576426006,-0.4067366430758007,122.99999999999999,122.99999999999999,17.0,140.0,0.0
0.0,-0.9335804264972017,-0.35836794954530027,124.49999999999999,124.49999999999999,17.0,141.5,0.0
1.1102230246251565e-16,-0.9510565162951535,-0.3090169943749473,126.0,126.0,17.0,143.0,0.0
0.0,-0.9659258262890683,-0.25881904510252085,127.49999999999999,127.50000000000001,17.0,144.5,4.440892098500626e-16
0.0,-0.9781476007338057,-0.2079116908177595,129.0,129.0,17.0,146.0,0.0
0.0,-0.9876883405951378,-0.15643446504023067,130.5,130.5,17.0,147.5,0.0
0.0,-0.9945218953682734,-0.10452846326765398,131.99999999999997,131.99999999999997,17.0,149.0,0.0
0.0,-0.9986295347545739,-0.05233595624294394,133.5,133.5,17.0,150.5,0.0
0.0,-1.0,1.5700924586837752e-16,135.0,135.0,17.0,152.0,0.0
0.0,-0.9986295347545739,0.05233595624294361,136.49999999999997,136.49999999999997,17.0,153.5,0.0
0.0,-0.9945218953682734,0.10452846326765329,138.0,138.0,17.0,155.0,0.0
1.1102230246251565e-16,-0.9876883405951377,0.15643446504023104,139.5,139.5,17.0,156.5,0.0
0.0,-0.9781476007338058,0.20791169081775884,140.99999999999997,140.99999999999997,17.0,158.0,0.0
0.0,-0.9659258262890684,0.25881904510252063,142.5,142.5,17.0,159.5,0.0
1.1102230246251565e-16,-0.9510565162951534,0.30901699437494756,144.0,144.0,17.0,161.0,0.0
1.1102230246251565e-16,-0.9335804264972019,0.3583679495452997,145.49999999999997,145.49999999999997,17.0,162.5,0.0
2.220446049250313e-16,-0.9135454576426011,0.4067366430758003,147.0,147.0,17.0,164.0,0.0
2.220446049250313e-16,-0.8910065241883677,0.45399049973954675,148.5,148.5,17.0,165.5,0.0
0.0,-0.8660254037844389,0.4999999999999996,149.99999999999997,149.99999999999997,17.0,167.0,0.0
0.0,-0.8386705679454242,0.5446390350150271,151.5,151.5,17.0,168.5,0.0
0.0,-0.8090169943749472,0.5877852522924734,153.0,153.0,17.0,170.0,0.0
0.0,-0.7771459614569711,0.6293203910498372,154.49999999999997,154.49999999999997,17.0,171.5,0.0
0.0,-0.7431448254773944,0.6691306063588581,156.0,156.0,17.0,173.0,0.0
0.0,-0.7071067811865475,0.7071067811865477,157.5,157.5,17.0,174.5,0.0
0.0,-0.6691306063588586,0.7431448254773939,158.99999999999997,158.99999999999997,17.0,176.0,0.0
1.1102230246251565e-16,-0.6293203910498376,0.7771459614569707,160.5,160.5,17.0,177.5,0.0
0.0,-0.587785252292473,0.8090169943749476,162.0,162.0,17.0,179.0,0.0
0.0,-0.5446390350150275,0.8386705679454237,163.49999999999997,163.49999999999997,17.0,180.5,0.0
0.0,-0.5000000000000001,0.8660254037844387,165.0,165.0,17.0,182.0,0.0
0.0,-0.4539904997395467,0.891006524188368,166.5,166.5,17.0,183.5,0.0
1.1102230246251565e-16,-0.40673664307580065,0.9135454576426006,167.99999999999997,167.99999999999997,17.0,185.0,0.0
0.0,-0.35836794954530043,0.9335804264972017,169.5,169.5,17.0,186.5,0.0
0.0,-0.30901699437494734,0.9510565162951536,171.0,171.0,17.0,188.0,0.0
0.0,-0.2588190451025212,0.9659258262890682,172.49999999999997,172.49999999999997,17.0,189.5,0.0
1.1102230246251565e-16,-0.20791169081775954,0.9781476007338055,174.0,174.0,17.0,191.0,0.0
0.0,-0.15643446504023084,0.9876883405951378,175.5,175.5,17.0,192.5,0.0
0.0,-0.10452846326765385,0.9945218953682733,176.99999999999997,176.99999999999997,17.0,194.0,0.0
1.1102230246251565e-16,-0.05233595624294405,0.9986295347545738,178.5,178.5,17.0,195.5,0.0
0.0,-0.0,1.0,0.0,0.0,17.0,197.0,0.0
